Date,Close
6/28/2021,52.71
6/29/2021,52.03
6/30/2021,52.17
7/1/2021,51.8
7/2/2021,51.28
7/6/2021,51.49
7/7/2021,48.75
7/8/2021,48.26
7/9/2021,49.09
7/12/2021,49.16
7/13/2021,47.73
7/14/2021,44.85
7/15/2021,44.83
7/16/2021,43.79
7/19/2021,44.66
7/20/2021,45.82
7/21/2021,48.88
7/22/2021,49.24
7/23/2021,49.33
7/26/2021,49.22
7/27/2021,48.77
7/28/2021,50.65
7/29/2021,49.79
7/30/2021,48.5
8/2/2021,49
8/3/2021,48.39
8/4/2021,48.67
8/5/2021,50.48
8/6/2021,51.59
8/9/2021,52.36
8/10/2021,51.98
8/11/2021,52.18
8/12/2021,54.61
8/13/2021,53.5
8/16/2021,52.46
8/17/2021,51.11
8/18/2021,52.1
8/19/2021,51.54
8/20/2021,52.01
8/23/2021,53.32
8/24/2021,56.47
8/25/2021,60.11
8/26/2021,57.86
8/27/2021,60.01
8/30/2021,59.25
8/31/2021,59.29
9/1/2021,60.21
9/2/2021,61.07
9/3/2021,61.02
9/7/2021,63.58
9/8/2021,63.39
9/9/2021,63.67
9/10/2021,62.46
9/13/2021,60.46
9/14/2021,59.05
9/15/2021,59.84
9/16/2021,59.97
9/17/2021,60.42
9/20/2021,57
9/21/2021,52.77
9/22/2021,52.63
9/23/2021,51.75
9/24/2021,51.33
9/27/2021,51.39
9/28/2021,49.93
9/29/2021,48.32
9/30/2021,48.16
10/1/2021,50.56
10/4/2021,48.46
10/5/2021,49.29
10/6/2021,48.99
10/7/2021,49.37
10/8/2021,47.91
10/11/2021,48.88
10/12/2021,48.94
10/13/2021,49.82
10/14/2021,49.36
10/15/2021,48.08
10/18/2021,48.65
10/19/2021,48.84
10/20/2021,49.09
10/21/2021,48.92
10/22/2021,46.11
10/25/2021,46.82
10/26/2021,48.75
10/27/2021,47.83
10/28/2021,47.18
10/29/2021,46.59
11/1/2021,49.02
11/2/2021,47.6
11/3/2021,46.84
11/4/2021,44.68
11/5/2021,43.62
11/8/2021,44.78
11/9/2021,43.05
11/10/2021,41.08
11/11/2021,40.71
11/12/2021,40.51
11/15/2021,39.36
11/16/2021,39.28
11/17/2021,37.87
11/18/2021,36.62
11/19/2021,36.14
11/22/2021,36.79
11/23/2021,35.04
11/24/2021,35.58
11/26/2021,36.04
11/29/2021,35.2
11/30/2021,34.55
12/1/2021,31.24
12/2/2021,31.3
12/3/2021,28.37
12/6/2021,30.68
12/7/2021,31.27
12/8/2021,33.38
12/9/2021,31.45
12/10/2021,30.41
12/13/2021,28.85
12/14/2021,27.81
12/15/2021,28.67
12/16/2021,26.98
12/17/2021,28.67
12/20/2021,27.9
12/21/2021,30.31
12/22/2021,29.57
12/23/2021,29.44
12/27/2021,28.2
12/28/2021,27.32
12/29/2021,26.59
12/30/2021,28.46
12/31/2021,27.47
1/3/2022,27.77
1/4/2022,26.63
1/5/2022,24.65
1/6/2022,25.8
1/7/2022,27.24
1/10/2022,26.13
1/11/2022,26.94
1/12/2022,26.1
1/13/2022,24.24
