Date,Close
6/7/2021,24.39
6/8/2021,23.64
6/9/2021,26.14
6/10/2021,26.51
6/11/2021,26.55
6/14/2021,29.94
6/15/2021,30.67
6/16/2021,29.97
6/17/2021,30.06
6/18/2021,28.92
6/21/2021,27.83
6/22/2021,27.34
6/23/2021,27.61
6/24/2021,29.48
6/25/2021,28.19
6/28/2021,30.11
6/29/2021,31.89
6/30/2021,31.37
7/1/2021,30.69
7/2/2021,30.29
7/6/2021,29.72
7/7/2021,28.59
7/8/2021,27.79
7/9/2021,27.69
7/12/2021,27.37
7/13/2021,25.96
7/14/2021,24.64
7/15/2021,24.48
7/16/2021,23.33
7/19/2021,22.35
7/20/2021,22.63
7/21/2021,25.06
7/22/2021,25.26
7/23/2021,24.64
7/26/2021,29.58
7/27/2021,27.02
7/28/2021,28.16
7/29/2021,27.48
7/30/2021,27.63
8/2/2021,28.23
8/3/2021,27.13
8/4/2021,28.72
8/5/2021,31.47
8/6/2021,34.25
8/9/2021,35.98
8/10/2021,35.7
8/11/2021,35.18
8/12/2021,33.84
8/13/2021,32.88
8/16/2021,33.04
8/17/2021,30.65
8/18/2021,30.78
8/19/2021,31.81
8/20/2021,35.26
8/23/2021,36.76
8/24/2021,37.98
8/25/2021,38.33
8/26/2021,36.22
8/27/2021,40.2
8/30/2021,40.54
8/31/2021,40.59
9/1/2021,41.18
9/2/2021,42.2
9/3/2021,43.41
9/7/2021,39.39
9/8/2021,37.29
9/9/2021,38.89
9/10/2021,35.74
9/13/2021,35.59
9/14/2021,34.68
9/15/2021,37.05
9/16/2021,36.34
9/17/2021,35.84
9/20/2021,33.89
9/21/2021,33.24
9/22/2021,35.7
9/23/2021,37.7
9/24/2021,36.18
9/27/2021,35.17
9/28/2021,32.75
9/29/2021,30.61
9/30/2021,31.58
10/1/2021,33.17
10/4/2021,33.63
10/5/2021,37.19
10/6/2021,38.96
10/7/2021,38.42
10/8/2021,39.49
10/11/2021,42.96
10/12/2021,40.86
10/13/2021,43.79
10/14/2021,43.59
10/15/2021,48.89
10/18/2021,51.45
10/19/2021,53.91
10/20/2021,53.07
10/21/2021,50.91
10/22/2021,49.46
10/25/2021,54.69
10/26/2021,52.86
10/27/2021,50.04
10/28/2021,50.39
10/29/2021,52.24
11/1/2021,55.51
11/2/2021,63.34
11/3/2021,64.66
11/4/2021,64.29
11/5/2021,63.82
11/8/2021,75.3
11/9/2021,76.09
11/10/2021,64.84
11/11/2021,70.69
11/12/2021,75.92
11/15/2021,55.4
11/16/2021,55.37
11/17/2021,50.95
11/18/2021,51.46
11/19/2021,54.68
11/22/2021,49.57
11/23/2021,52.12
11/24/2021,52.39
11/26/2021,49.2
11/29/2021,51.39
11/30/2021,51.07
12/1/2021,50.79
12/2/2021,49.07
12/3/2021,41.64
12/6/2021,41.81
12/7/2021,45.7
12/8/2021,46.64
12/9/2021,41.37
12/10/2021,40.44
12/13/2021,36.84
12/14/2021,37.33
12/15/2021,38.73
12/16/2021,35.51
12/17/2021,33.85
12/20/2021,32.47
12/21/2021,34.43
12/22/2021,34.13
12/23/2021,38.13
12/27/2021,39.4
12/28/2021,35.14
12/29/2021,33.91
12/30/2021,34.39
12/31/2021,32.86
1/3/2022,32.89
1/4/2022,34.13
1/5/2022,29.62
1/6/2022,29.3
1/7/2022,28.49
1/10/2022,28.93
1/11/2022,29.58
1/12/2022,30.36
1/13/2022,28.1
